#,,"generated_by='OpenQuake engine 3.16.1', start_date='2023-05-23T00:22:57', checksum=843156240"
custom_site_id,lon,lat
qd4qcwp7,115.74000,-32.53000
qd4r19xr,115.74000,-32.51000
qd4rcepr,115.74000,-32.37000
qd621dx2,115.74000,-32.33000
qd621sr6,115.74000,-32.32000
qd621xzq,115.74000,-32.30000
qd6239z3,115.74000,-32.29000
qd623ex7,115.74000,-32.28000
qd623trm,115.74000,-32.27000
qd639exk,115.74000,-32.06000
qd639trr,115.74000,-32.05000
qd639xr3,115.74000,-32.04000
qd66ctx2,115.74000,-31.83000
qd66cxr7,115.74000,-31.82000
qd6719pm,115.74000,-31.81000
qd671dzr,115.74000,-31.80000
qd671sz3,115.74000,-31.79000
qd671wxk,115.74000,-31.78000
qd6738rq,115.74000,-31.77000
qd673dr2,115.74000,-31.76000
qd673sp6,115.74000,-31.75000
qd673tzm,115.74000,-31.74000
qd673xxr,115.74000,-31.73000
qd6799x3,115.74000,-31.72000
qd679er7,115.74000,-31.71000
qd67cdxk,115.74000,-31.67000
qd4qcbws,115.75000,-32.56000
qd4qcfqw,115.75000,-32.55000
qd4qcuq8,115.75000,-32.54000
qd4qcyne,115.75000,-32.53000
qd4qczyt,115.75000,-32.52000
qd4r1cwx,115.75000,-32.51000
qd4r1gw9,115.75000,-32.50000
qd4r1vqs,115.75000,-32.49000
qd4r1znw,115.75000,-32.48000
qd4r3cn8,115.75000,-32.47000
qd4r3yqx,115.75000,-32.44000
qd4r9bq9,115.75000,-32.43000
qd4r9gyw,115.75000,-32.41000
qd4r9vy8,115.75000,-32.40000
qd4rcyye,115.75000,-32.35000
qd621uqd,115.75000,-32.32000
qd623cy9,115.75000,-32.29000
qd623gwe,115.75000,-32.28000
qd623vqt,115.75000,-32.27000
qd623znx,115.75000,-32.26000
qd631yyt,115.75000,-32.13000
qd639bn8,115.75000,-32.08000
qd639cyd,115.75000,-32.07000
qd639gws,115.75000,-32.06000
qd639vqx,115.75000,-32.05000
qd639zq9,115.75000,-32.04000
qd63ccne,115.75000,-32.03000
qd63cfyt,115.75000,-32.02000
qd63cuy8,115.75000,-32.01000
qd63cywd,115.75000,-32.00000
qd661bqs,115.75000,-31.99000
qd661fnw,115.75000,-31.98000
qd669uqt,115.75000,-31.88000
qd669ynx,115.75000,-31.87000
qd66ccys,115.75000,-31.85000
qd66cgww,115.75000,-31.84000
qd66cvw8,115.75000,-31.83000
qd66czqe,115.75000,-31.82000
qd671cnt,115.75000,-31.81000
qd671fyx,115.75000,-31.80000
qd671uy9,115.75000,-31.79000
qd671yws,115.75000,-31.78000
qd673bqw,115.75000,-31.77000
qd673fq8,115.75000,-31.76000
qd673und,115.75000,-31.75000
qd673vyt,115.75000,-31.74000
qd673zwx,115.75000,-31.73000
qd679cw9,115.75000,-31.72000
qd67cfws,115.75000,-31.67000
qd67cuqx,115.75000,-31.66000
qd4qdnvc,115.76000,-32.57000
qd4qfhmb,115.76000,-32.54000
qd4qfpvv,115.76000,-32.52000
qd4r41tz,115.76000,-32.51000
qd4r45tc,115.76000,-32.50000
qd4r4pjy,115.76000,-32.48000
qd4r61jb,115.76000,-32.47000
qd4r64vf,115.76000,-32.46000
qd4r6htv,115.76000,-32.45000
qd4r6nmz,115.76000,-32.44000
qd4rd4jg,115.76000,-32.42000
qd4rd5vy,115.76000,-32.41000
qd4rdjvb,115.76000,-32.40000
qd4rdptf,115.76000,-32.39000
qd4rf5jz,115.76000,-32.37000
qd4rfnvg,115.76000,-32.35000
qd6240tv,115.76000,-32.34000
qd6244tb,115.76000,-32.33000
qd624hmf,115.76000,-32.32000
qd624pvy,115.76000,-32.30000
qd6265tg,115.76000,-32.28000
qd62d1jf,115.76000,-32.25000
qd634jjf,115.76000,-32.14000
qd634nvv,115.76000,-32.13000
qd6360tz,115.76000,-32.12000
qd6364tc,115.76000,-32.11000
qd636hmg,115.76000,-32.10000
qd636njy,115.76000,-32.09000
qd63d0jb,115.76000,-32.08000
qd63d1vf,115.76000,-32.07000
qd63d5tu,115.76000,-32.06000
qd63djmz,115.76000,-32.05000
qd63dpmc,115.76000,-32.04000
qd63f1jg,115.76000,-32.03000
qd63f4vv,115.76000,-32.02000
qd63fhvb,115.76000,-32.01000
qd63fntf,115.76000,-32.00000
qd6640mu,115.76000,-31.99000
qd6644jy,115.76000,-31.98000
qd664hjc,115.76000,-31.97000
qd664ptv,115.76000,-31.95000
qd6661tb,115.76000,-31.94000
qd6665mf,115.76000,-31.93000
qd666nvy,115.76000,-31.91000
qd66d0vc,115.76000,-31.90000
qd66d4tg,115.76000,-31.89000
qd66dhmv,115.76000,-31.88000
qd66dnjz,115.76000,-31.87000
qd66f0jf,115.76000,-31.86000
qd66f5ty,115.76000,-31.84000
qd66fjtb,115.76000,-31.83000
qd6741jv,115.76000,-31.81000
qd6744vz,115.76000,-31.80000
qd674hvc,115.76000,-31.79000
qd674ntu,115.76000,-31.78000
qd6760my,115.76000,-31.77000
qd6764mb,115.76000,-31.76000
qd676hjf,115.76000,-31.75000
qd676jvv,115.76000,-31.74000
qd676ptz,115.76000,-31.73000
qd67d1tc,115.76000,-31.72000
qd4qdkvp,115.77000,-32.58000
qd4qfqj5,115.77000,-32.53000
qd4qfrvj,115.77000,-32.52000
qd4r43tp,115.77000,-32.51000
qd4r4rjn,115.77000,-32.48000
qd4r63j0,115.77000,-32.47000
qd4r6ktj,115.77000,-32.45000
qd4r6qmp,115.77000,-32.44000
qd4rd2m1,115.77000,-32.43000
qd4rd7vn,115.77000,-32.41000
qd4rdmv0,115.77000,-32.40000
qd4rf3mh,115.77000,-32.38000
qd4rfqv5,115.77000,-32.35000
qd6242tj,115.77000,-32.34000
qd6246t0,115.77000,-32.33000
qd624km4,115.77000,-32.32000
qd6263v1,115.77000,-32.29000
qd6267t5,115.77000,-32.28000
qd62dktn,115.77000,-32.23000
qd62dqt0,115.77000,-32.22000
qd62frth,115.77000,-32.17000
qd6343mn,115.77000,-32.16000
qd6347m0,115.77000,-32.15000
qd634mj4,115.77000,-32.14000
qd634qvj,115.77000,-32.13000
qd6362tp,115.77000,-32.12000
qd6366t1,115.77000,-32.11000
qd636km5,115.77000,-32.10000
qd636qjn,115.77000,-32.09000
qd63d2j0,115.77000,-32.08000
qd63d3v4,115.77000,-32.07000
qd63d7th,115.77000,-32.06000
qd63dmmp,115.77000,-32.05000
qd63drm1,115.77000,-32.04000
qd63f3j5,115.77000,-32.03000
qd63f6vj,115.77000,-32.02000
qd63fkv0,115.77000,-32.01000
qd63fqt4,115.77000,-32.00000
qd6642mh,115.77000,-31.99000
qd6646jn,115.77000,-31.98000
qd664kj1,115.77000,-31.97000
qd664mv5,115.77000,-31.96000
qd666qvn,115.77000,-31.91000
qd66d2v1,115.77000,-31.90000
qd66d6t5,115.77000,-31.89000
qd66dkmj,115.77000,-31.88000
qd66f2j4,115.77000,-31.86000
qd66f3vh,115.77000,-31.85000
qd66f7tn,115.77000,-31.84000
qd66fmt0,115.77000,-31.83000
qd66frm5,115.77000,-31.82000
qd6743jj,115.77000,-31.81000
qd6746vp,115.77000,-31.80000
qd674kv1,115.77000,-31.79000
qd674qth,115.77000,-31.78000
qd6762mn,115.77000,-31.77000
qd6766m0,115.77000,-31.76000
qd676kj4,115.77000,-31.75000
qd676mvj,115.77000,-31.74000
qd676rtp,115.77000,-31.73000
qd67d3t1,115.77000,-31.72000
qd4qdsur,115.78000,-32.58000
qd4qfsk2,115.78000,-32.54000
qd4r69h2,115.78000,-32.47000
qd4rdxs6,115.78000,-32.39000
qd4rf9kk,115.78000,-32.38000
qd626xhr,115.78000,-32.26000
qd62dduk,115.78000,-32.24000
qd62dws2,115.78000,-32.22000
qd62feur,115.78000,-32.19000
qd62ftu3,115.78000,-32.18000
qd62fxsk,115.78000,-32.17000
qd6349kq,115.78000,-32.16000
qd634ek2,115.78000,-32.15000
qd634th6,115.78000,-32.14000
qd634wum,115.78000,-32.13000
qd6368sr,115.78000,-32.12000
qd636ds3,115.78000,-32.11000
qd636sk7,115.78000,-32.10000
qd636whq,115.78000,-32.09000
qd63d8h2,115.78000,-32.08000
qd63d9u6,115.78000,-32.07000
qd63desk,115.78000,-32.06000
qd63dtkr,115.78000,-32.05000
qd63dxk3,115.78000,-32.04000
qd63f9h7,115.78000,-32.03000
qd63fdum,115.78000,-32.02000
qd63fsu2,115.78000,-32.01000
qd6648kk,115.78000,-31.99000
qd664dhq,115.78000,-31.98000
qd664sh3,115.78000,-31.97000
qd664tu7,115.78000,-31.96000
qd664xsm,115.78000,-31.95000
qd6669s2,115.78000,-31.94000
qd666ek6,115.78000,-31.93000
qd66d8u3,115.78000,-31.90000
qd66dds7,115.78000,-31.89000
qd66dskm,115.78000,-31.88000
qd66dwhr,115.78000,-31.87000
qd66f8h6,115.78000,-31.86000
qd66f9uk,115.78000,-31.85000
qd66fesq,115.78000,-31.84000
qd66fts2,115.78000,-31.83000
qd66fxk7,115.78000,-31.82000
qd674dur,115.78000,-31.80000
qd674su3,115.78000,-31.79000
qd674wsk,115.78000,-31.78000
qd6768kq,115.78000,-31.77000
qd676dk2,115.78000,-31.76000
qd676sh6,115.78000,-31.75000
qd67d9s3,115.78000,-31.72000
qd67dthq,115.78000,-31.70000
qd67dxh2,115.78000,-31.69000
qd67f8u6,115.78000,-31.68000
qd4qdg5t,115.79000,-32.59000
qd4qdugx,115.79000,-32.58000
qd4qfu78,115.79000,-32.54000
qd4qfy5e,115.79000,-32.53000
qd4rfyge,115.79000,-32.35000
qd624bet,115.79000,-32.34000
qd62dye8,115.79000,-32.22000
qd62fb7e,115.79000,-32.21000
qd62ff5t,115.79000,-32.20000
qd62fggx,115.79000,-32.19000
qd62fzes,115.79000,-32.17000
qd634g78,115.79000,-32.15000
qd634v5d,115.79000,-32.14000
qd634ygt,115.79000,-32.13000
qd636fe9,115.79000,-32.11000
qd636y5w,115.79000,-32.09000
qd63db58,115.79000,-32.08000
qd63dcgd,115.79000,-32.07000
qd63dges,115.79000,-32.06000
qd63dv7x,115.79000,-32.05000
qd63dz79,115.79000,-32.04000
qd63fc5e,115.79000,-32.03000
qd63ffgt,115.79000,-32.02000
qd63fug8,115.79000,-32.01000
qd63fyed,115.79000,-32.00000
qd664b7s,115.79000,-31.99000
qd664f5w,115.79000,-31.98000
qd664u59,115.79000,-31.97000
qd664vge,115.79000,-31.96000
qd664zet,115.79000,-31.95000
qd666ce8,115.79000,-31.94000
qd666v5s,115.79000,-31.92000
qd666ygw,115.79000,-31.91000
qd66dbg9,115.79000,-31.90000
qd66dfee,115.79000,-31.89000
qd66du7t,115.79000,-31.88000
qd66fb5d,115.79000,-31.86000
qd66fcgs,115.79000,-31.85000
qd66fgew,115.79000,-31.84000
qd674c5t,115.79000,-31.81000
qd674fgx,115.79000,-31.80000
qd674ug9,115.79000,-31.79000
qd674yes,115.79000,-31.78000
qd676b7w,115.79000,-31.77000
qd676u5d,115.79000,-31.75000
qd67dce9,115.79000,-31.72000
qd67dg7e,115.79000,-31.71000
qd67dv5w,115.79000,-31.70000
qd67dz58,115.79000,-31.69000
qd67fbgd,115.79000,-31.68000
qd4qe54v,115.80000,-32.59000
qd4rgj4c,115.80000,-32.36000
qd6250dv,115.80000,-32.34000
qd627j6v,115.80000,-32.27000
qd627p4z,115.80000,-32.26000
qd62ehdy,115.80000,-32.23000
qd62gjfc,115.80000,-32.18000
qd63516y,115.80000,-32.16000
qd635nfv,115.80000,-32.13000
qd6374dc,115.80000,-32.11000
qd637h6g,115.80000,-32.10000
qd637n4y,115.80000,-32.09000
qd63e04b,115.80000,-32.08000
qd63e1ff,115.80000,-32.07000
qd63e5du,115.80000,-32.06000
qd63ej6z,115.80000,-32.05000
qd63ep6c,115.80000,-32.04000
qd63g14g,115.80000,-32.03000
qd63g4fv,115.80000,-32.02000
qd63gndf,115.80000,-32.00000
qd66544y,115.80000,-31.98000
qd665h4c,115.80000,-31.97000
qd665jfg,115.80000,-31.96000
qd665pdv,115.80000,-31.95000
qd6671db,115.80000,-31.94000
qd66756f,115.80000,-31.93000
qd667j4u,115.80000,-31.92000
qd667nfy,115.80000,-31.91000
qd66e0fc,115.80000,-31.90000
qd66e4dg,115.80000,-31.89000
qd66en4z,115.80000,-31.87000
qd66g5dy,115.80000,-31.84000
qd66gp6g,115.80000,-31.82000
qd67514v,115.80000,-31.81000
qd6754fz,115.80000,-31.80000
qd675hfc,115.80000,-31.79000
qd675ndu,115.80000,-31.78000
qd67746b,115.80000,-31.76000
qd677h4f,115.80000,-31.75000
qd677jfv,115.80000,-31.74000
qd67e1dc,115.80000,-31.72000
qd67e56g,115.80000,-31.71000
qd67ej4y,115.80000,-31.70000
qd67ep4b,115.80000,-31.69000
qd67gh6z,115.80000,-31.66000
qd4qe367,115.81000,-32.60000
qd4qe74m,115.81000,-32.59000
qd4qekfr,115.81000,-32.58000
qd4rgqf7,115.81000,-32.35000
qd6252dm,115.81000,-32.34000
qd6256d2,115.81000,-32.33000
qd625k66,115.81000,-32.32000
qd625q4k,115.81000,-32.31000
qd625rfq,115.81000,-32.30000
qd627m6m,115.81000,-32.27000
qd627r4r,115.81000,-32.26000
qd62e346,115.81000,-32.25000
qd62e6fk,115.81000,-32.24000
qd62eqd2,115.81000,-32.22000
qd635762,115.81000,-32.15000
qd635m46,115.81000,-32.14000
qd635qfm,115.81000,-32.13000
qd6372dr,115.81000,-32.12000
qd6376d3,115.81000,-32.11000
qd637k67,115.81000,-32.10000
qd637q4q,115.81000,-32.09000
qd63e242,115.81000,-32.08000
qd63e3f6,115.81000,-32.07000
qd63e7dk,115.81000,-32.06000
qd63em6r,115.81000,-32.05000
qd63er63,115.81000,-32.04000
qd63g347,115.81000,-32.03000
qd63g6fm,115.81000,-32.02000
qd63gqd6,115.81000,-32.00000
qd66526k,115.81000,-31.99000
qd66564q,115.81000,-31.98000
qd665k43,115.81000,-31.97000
qd665mf7,115.81000,-31.96000
qd665rdm,115.81000,-31.95000
qd6673d2,115.81000,-31.94000
qd667766,115.81000,-31.93000
qd667m4k,115.81000,-31.92000
qd667qfq,115.81000,-31.91000
qd66e2f3,115.81000,-31.90000
qd66e6d7,115.81000,-31.89000
qd66ek6m,115.81000,-31.88000
qd66eq4r,115.81000,-31.87000
qd66g246,115.81000,-31.86000
qd66g3fk,115.81000,-31.85000
qd66g7dq,115.81000,-31.84000
qd675kf3,115.81000,-31.79000
qd675qdk,115.81000,-31.78000
qd67726q,115.81000,-31.77000
qd677k46,115.81000,-31.75000
qd677mfm,115.81000,-31.74000
qd67em4q,115.81000,-31.70000
qd67er42,115.81000,-31.69000
qd67g2f6,115.81000,-31.68000
qd67g6dk,115.81000,-31.67000
qd625d98,115.82000,-32.33000
qd625w1s,115.82000,-32.31000
qd627e9e,115.82000,-32.28000
qd627t3t,115.82000,-32.27000
qd627x1x,115.82000,-32.26000
qd62e91d,115.82000,-32.25000
qd62edcs,115.82000,-32.24000
qd62es9w,115.82000,-32.23000
qd62gecx,115.82000,-32.19000
qd62gtc9,115.82000,-32.18000
qd63593w,115.82000,-32.16000
qd635e38,115.82000,-32.15000
qd635wct,115.82000,-32.13000
qd637s3e,115.82000,-32.10000
qd637w1w,115.82000,-32.09000
qd63e818,115.82000,-32.08000
qd63e9cd,115.82000,-32.07000
qd63ee9s,115.82000,-32.06000
qd63et3x,115.82000,-32.05000
qd63ex39,115.82000,-32.04000
qd63g91e,115.82000,-32.03000
qd66583s,115.82000,-31.99000
qd665d1w,115.82000,-31.98000
qd665s19,115.82000,-31.97000
qd665tce,115.82000,-31.96000
qd665x9t,115.82000,-31.95000
qd667998,115.82000,-31.94000
qd667e3d,115.82000,-31.93000
qd667t1s,115.82000,-31.92000
qd667wcw,115.82000,-31.91000
qd66e8c9,115.82000,-31.90000
qd66ed9e,115.82000,-31.89000
qd66ew1x,115.82000,-31.87000
qd66g81d,115.82000,-31.86000
qd66ge9w,115.82000,-31.84000
qd66gx3e,115.82000,-31.82000
qd67591t,115.82000,-31.81000
qd675dcx,115.82000,-31.80000
qd675sc9,115.82000,-31.79000
qd675w9s,115.82000,-31.78000
qd67783w,115.82000,-31.77000
qd677d38,115.82000,-31.76000
qd4qeg0v,115.83000,-32.59000
qd625b8v,115.83000,-32.34000
qd625f8b,115.83000,-32.33000
qd625y0u,115.83000,-32.31000
qd627v2v,115.83000,-32.27000
qd627z0z,115.83000,-32.26000
qd62ec0f,115.83000,-32.25000
qd62efbu,115.83000,-32.24000
qd62gvbc,115.83000,-32.18000
qd62gz8u,115.83000,-32.17000
qd637f8c,115.83000,-32.11000
qd637y0y,115.83000,-32.09000
qd63eb0b,115.83000,-32.08000
qd63ecbf,115.83000,-32.07000
qd63eg8u,115.83000,-32.06000
qd63ev2z,115.83000,-32.05000
qd63ez2c,115.83000,-32.04000
qd63gc0g,115.83000,-32.03000
qd63gfbv,115.83000,-32.02000
qd63gubb,115.83000,-32.01000
qd665b2u,115.83000,-31.99000
qd665u0c,115.83000,-31.97000
qd665vbg,115.83000,-31.96000
qd665z8v,115.83000,-31.95000
qd667c8b,115.83000,-31.94000
qd667g2f,115.83000,-31.93000
qd667yby,115.83000,-31.91000
qd66ebbc,115.83000,-31.90000
qd66ef8g,115.83000,-31.89000
qd66eu2v,115.83000,-31.88000
qd66ey0z,115.83000,-31.87000
qd66gb0f,115.83000,-31.86000
qd66gcbu,115.83000,-31.85000
qd66gg8y,115.83000,-31.84000
qd66gv8b,115.83000,-31.83000
qd66gz2g,115.83000,-31.82000
qd675c0v,115.83000,-31.81000
qd675ubc,115.83000,-31.79000
qd675y8u,115.83000,-31.78000
qd677b2y,115.83000,-31.77000
qd4qshbp,115.84000,-32.58000
qd62kj2j,115.84000,-32.27000
qd62s104,115.84000,-32.25000
qd62s4bh,115.84000,-32.24000
qd63hnbj,115.84000,-32.13000
qd63k08p,115.84000,-32.12000
qd63k481,115.84000,-32.11000
qd63kh25,115.84000,-32.10000
qd63kn0n,115.84000,-32.09000
qd63s000,115.84000,-32.08000
qd63s1b4,115.84000,-32.07000
qd63s58h,115.84000,-32.06000
qd63sj2p,115.84000,-32.05000
qd63sp21,115.84000,-32.04000
qd63u105,115.84000,-32.03000
qd63u4bj,115.84000,-32.02000
qd63uhb0,115.84000,-32.01000
qd63un84,115.84000,-32.00000
qd66hh01,115.84000,-31.97000
qd66hjb5,115.84000,-31.96000
qd66hp8j,115.84000,-31.95000
qd66k180,115.84000,-31.94000
qd66k524,115.84000,-31.93000
qd66kj0h,115.84000,-31.92000
qd66knbn,115.84000,-31.91000
qd66s0b1,115.84000,-31.90000
qd66s485,115.84000,-31.89000
qd66sh2j,115.84000,-31.88000
qd66u004,115.84000,-31.86000
qd66u58n,115.84000,-31.84000
qd66uj80,115.84000,-31.83000
qd66up25,115.84000,-31.82000
qd67h10j,115.84000,-31.81000
qd67h4bp,115.84000,-31.80000
qd67hhb1,115.84000,-31.79000
qd62kjrm,115.85000,-32.27000
qd62s1p6,115.85000,-32.25000
qd62s4zk,115.85000,-32.24000
qd62shxq,115.85000,-32.23000
qd62u0r7,115.85000,-32.21000
qd62ujz3,115.85000,-32.18000
qd62upxk,115.85000,-32.17000
qd63h1rq,115.85000,-32.16000
qd63h5r2,115.85000,-32.15000
qd63hjp6,115.85000,-32.14000
qd63hnzm,115.85000,-32.13000
qd63k0xr,115.85000,-32.12000
qd63k4x3,115.85000,-32.11000
qd63khr7,115.85000,-32.10000
qd63s0p2,115.85000,-32.08000
qd63s1z6,115.85000,-32.07000
qd63s5xk,115.85000,-32.06000
qd63sjrr,115.85000,-32.05000
qd63spr3,115.85000,-32.04000
qd63u1p7,115.85000,-32.03000
qd63u4zm,115.85000,-32.02000
qd63uhz2,115.85000,-32.01000
qd63unx6,115.85000,-32.00000
qd66h0rk,115.85000,-31.99000
qd66h4pq,115.85000,-31.98000
qd66hhp3,115.85000,-31.97000
qd66hjz7,115.85000,-31.96000
qd66hpxm,115.85000,-31.95000
qd66k1x2,115.85000,-31.94000
qd66k5r6,115.85000,-31.93000
qd66kjpk,115.85000,-31.92000
qd66knzq,115.85000,-31.91000
qd66s0z3,115.85000,-31.90000
qd66s4x7,115.85000,-31.89000
qd66shrm,115.85000,-31.88000
qd66snpr,115.85000,-31.87000
qd66u0p6,115.85000,-31.86000
qd66u1zk,115.85000,-31.85000
qd66ujx2,115.85000,-31.83000
qd66upr7,115.85000,-31.82000
qd67h1pm,115.85000,-31.81000
qd67h4zr,115.85000,-31.80000
qd67hhz3,115.85000,-31.79000
qd67hnxk,115.85000,-31.78000
qd62u6nt,115.86000,-32.20000
qd62umy9,115.86000,-32.18000
qd62urws,115.86000,-32.17000
qd63h3qw,115.86000,-32.16000
qd63h7q8,115.86000,-32.15000
qd63hmnd,115.86000,-32.14000
qd63hqyt,115.86000,-32.13000
qd63k2wx,115.86000,-32.12000
qd63k6w9,115.86000,-32.11000
qd63kkqe,115.86000,-32.10000
qd63kqnw,115.86000,-32.09000
qd63s2n8,115.86000,-32.08000
qd63s3yd,115.86000,-32.07000
qd63s7ws,115.86000,-32.06000
qd63smqx,115.86000,-32.05000
qd63srq9,115.86000,-32.04000
qd63u3ne,115.86000,-32.03000
qd63u6yt,115.86000,-32.02000
qd63uky8,115.86000,-32.01000
qd63uqwd,115.86000,-32.00000
qd66h2qs,115.86000,-31.99000
qd66h6nw,115.86000,-31.98000
qd66hkn9,115.86000,-31.97000
qd66hmye,115.86000,-31.96000
qd66hrwt,115.86000,-31.95000
qd66k3w8,115.86000,-31.94000
qd66k7qd,115.86000,-31.93000
qd66kmns,115.86000,-31.92000
qd66kqyw,115.86000,-31.91000
qd66s2y9,115.86000,-31.90000
qd66s6we,115.86000,-31.89000
qd66skqt,115.86000,-31.88000
qd66sqnx,115.86000,-31.87000
qd66urqe,115.86000,-31.82000
qd67h3nt,115.86000,-31.81000
qd67h6yx,115.86000,-31.80000
qd67hky9,115.86000,-31.79000
qd67hqws,115.86000,-31.78000
qd67k2qw,115.86000,-31.77000
qd62ssty,115.87000,-32.23000
qd63h9my,115.87000,-32.16000
qd63hemb,115.87000,-32.15000
qd63htjf,115.87000,-32.14000
qd63hwvv,115.87000,-32.13000
qd63k8tz,115.87000,-32.12000
qd63ksmg,115.87000,-32.10000
qd63kwjy,115.87000,-32.09000
qd63s8jb,115.87000,-32.08000
qd63s9vf,115.87000,-32.07000
qd63setu,115.87000,-32.06000
qd63stmz,115.87000,-32.05000
qd63sxmc,115.87000,-32.04000
qd63u9jg,115.87000,-32.03000
qd63udvv,115.87000,-32.02000
qd63usvb,115.87000,-32.01000
qd63uwtf,115.87000,-32.00000
qd66h8mu,115.87000,-31.99000
qd66hdjy,115.87000,-31.98000
qd66hsjc,115.87000,-31.97000
qd66htvg,115.87000,-31.96000
qd66hxtv,115.87000,-31.95000
qd66k9tb,115.87000,-31.94000
qd66kemf,115.87000,-31.93000
qd66ktju,115.87000,-31.92000
qd66kwvy,115.87000,-31.91000
qd66s8vc,115.87000,-31.90000
qd66sdtg,115.87000,-31.89000
qd66u8jf,115.87000,-31.86000
qd66uxmg,115.87000,-31.82000
qd67h9jv,115.87000,-31.81000
qd67hdvz,115.87000,-31.80000
qd67k8my,115.87000,-31.77000
qd62sfvh,115.88000,-32.24000
qd63kbtp,115.88000,-32.12000
qd63kum5,115.88000,-32.10000
qd63kyjn,115.88000,-32.09000
qd63sbj0,115.88000,-32.08000
qd63scv4,115.88000,-32.07000
qd63sgth,115.88000,-32.06000
qd63svmp,115.88000,-32.05000
qd63szm1,115.88000,-32.04000
